id	effectiveTime	active	moduleId	refsetId	referencedComponentId	term
b6e59780-57c9-4f02-ccbc-363ffbc74bed	20181101	1	900000001000122104	900000171000122109	60728008	abdomen distendido
921ef527-d0ff-40a3-8c10-0e8189f2206f	20151031	1	900000001000122104	900000171000122109	17369002	aborto espontáneo
29860941-a1df-4ae6-8ec2-a45630077dff	20151031	1	900000001000122104	900000171000122109	156073000	aborto espontáneo completo
6b9fcb5e-5e34-4eba-8436-d2ec66dd5bb7	20220601	1	900000001000122104	900000171000122109	156072005	aborto espontáneo incompleto
b5175825-ed45-4cf3-8a65-f175586499e8	20151031	1	900000001000122104	900000171000122109	16607004	aborto inadvertido
5229972a-2a70-453b-8db7-db47a2d5d081	20181101	1	900000001000122104	900000171000122109	371374003	aborto retenido
b8e9fc56-2f30-47dd-ae05-1cd88efa5842	20151031	1	900000001000122104	900000171000122109	399963005	abrasión
e20c4d77-df7a-4494-9a13-b7b65c413b34	20151031	1	900000001000122104	900000171000122109	85848002	abrasión corneal
c4d07f0a-9d38-4a36-9571-e189437db543	20151031	1	900000001000122104	900000171000122109	283062009	abrasión de extremidad inferior
ac952f57-bc47-4709-8dd1-845944fff93a	20151031	1	900000001000122104	900000171000122109	128477000	absceso
d421ff0a-c13d-4de8-b7f6-1243d3068551	20151031	1	900000001000122104	900000171000122109	75100008	absceso abdominal
51cc905c-98b0-46ee-b112-5558993ae974	20151031	1	900000001000122104	900000171000122109	33261009	absceso de amígdala
f86b43f1-6707-4d38-9f2a-cdce4d2a0e9b	20151031	1	900000001000122104	900000171000122109	27916005	absceso de hígado
ee4c2f03-44fb-45bc-bf19-1d7ac6c80866	20151031	1	900000001000122104	900000171000122109	67624004	absceso de la glándula de Bartolino
c789f418-4c55-419b-8ff8-2e2eb8182b25	20151031	1	900000001000122104	900000171000122109	28432003	absceso de la mama
1ea6de6c-2a10-400d-967c-da7557f896d0	20151031	1	900000001000122104	900000171000122109	31928004	absceso de la piel Y/O del tejido celular subcutáneo
878d2114-a3af-49b2-8f99-1e7c3228f0fa	20151031	1	900000001000122104	900000171000122109	69430001	absceso de la vulva
ae19eb0a-d813-4dc2-ca0a-264cbfd3bd31	20220601	1	900000001000122104	900000171000122109	301706005	absceso de pie
135ba6d1-cfcb-4b50-8cc4-dbefe8b6f2c8	20151031	1	900000001000122104	900000171000122109	73452002	absceso de pulmón
f00cb9b0-0a25-4245-ae1a-a506f535c70f	20151031	1	900000001000122104	900000171000122109	299709002	absceso dental
